# 	r			Protein
-2.500000000000000000e+03 8.296512699999192264e+05
-2.425000000000000000e+03 1.402436400000009744e+05
-2.375000000000000000e+03 2.266411000000000422e+04
-2.325000000000000000e+03 2.000269999999999754e+03
-2.275000000000000000e+03 0.000000000000000000e+00
-2.225000000000000000e+03 0.000000000000000000e+00
-2.175000000000000000e+03 0.000000000000000000e+00
-2.125000000000000000e+03 0.000000000000000000e+00
-2.075000000000000000e+03 0.000000000000000000e+00
-2.025000000000000000e+03 0.000000000000000000e+00
-1.975000000000000000e+03 0.000000000000000000e+00
-1.925000000000000000e+03 0.000000000000000000e+00
-1.875000000000000000e+03 0.000000000000000000e+00
-1.825000000000000000e+03 0.000000000000000000e+00
-1.775000000000000000e+03 1.999492000000000189e+04
-1.725000000000000000e+03 8.462295000000036089e+04
-1.675000000000000000e+03 3.591134899999992340e+05
-1.625000000000000000e+03 1.673075490000194870e+06
-1.575000000000000000e+03 5.443271090001031756e+06
-1.525000000000000000e+03 1.704549940998055413e+07
-1.475000000000000000e+03 3.993850511001487821e+07
-1.425000000000000000e+03 5.816836160008777678e+07
-1.375000000000000000e+03 7.004436539008344710e+07
-1.325000000000000000e+03 8.419545281986893713e+07
-1.275000000000000000e+03 9.246440257974487543e+07
-1.225000000000000000e+03 9.676408105967393517e+07
-1.175000000000000000e+03 1.050133381094949096e+08
-1.125000000000000000e+03 1.272271989491276592e+08
-1.075000000000000000e+03 1.729592841084643006e+08
-1.025000000000000000e+03 2.932143960277901888e+08
-9.750000000000000000e+02 4.536277648110139966e+08
-9.250000000000000000e+02 6.348832756589876413e+08
-8.750000000000000000e+02 8.034410097208628654e+08
-8.250000000000000000e+02 1.007505386012661219e+09
-7.750000000000000000e+02 1.174229251605770111e+09
-7.250000000000000000e+02 1.215415799606980801e+09
-6.750000000000000000e+02 1.184612557259295940e+09
-6.250000000000000000e+02 1.180389318390307665e+09
-5.750000000000000000e+02 1.215524272623012543e+09
-5.250000000000000000e+02 1.285764196383193254e+09
-4.750000000000000000e+02 1.298226656380939960e+09
-4.250000000000000000e+02 1.286455879216148376e+09
-3.750000000000000000e+02 1.296942544408682108e+09
-3.250000000000000000e+02 1.330380625676762581e+09
-2.750000000000000000e+02 1.308271534468378782e+09
-2.250000000000000000e+02 1.298296241278473854e+09
-1.750000000000000000e+02 1.345043910530000925e+09
-1.250000000000000000e+02 1.354783373724871635e+09
-7.500000000000000000e+01 1.341167994590078354e+09
-2.500000000000000000e+01 1.337056232221897364e+09
2.500000000000000000e+01 1.341965503791328669e+09
7.500000000000000000e+01 1.302064784464590788e+09
1.250000000000000000e+02 1.249991654429332495e+09
1.750000000000000000e+02 1.186398460211219311e+09
2.250000000000000000e+02 1.157320689144681692e+09
2.750000000000000000e+02 1.196918415408198833e+09
3.250000000000000000e+02 1.217605649125802994e+09
3.750000000000000000e+02 1.189494817054328918e+09
4.250000000000000000e+02 1.207340321186928749e+09
4.750000000000000000e+02 1.156963026202843428e+09
5.250000000000000000e+02 1.101763146058047533e+09
5.750000000000000000e+02 1.054531055175745845e+09
6.250000000000000000e+02 9.987466442309862375e+08
6.750000000000000000e+02 9.590199796696556807e+08
7.250000000000000000e+02 9.296397224827717543e+08
7.750000000000000000e+02 8.647014439175527096e+08
8.250000000000000000e+02 7.703024819231230021e+08
8.750000000000000000e+02 6.662986779869625568e+08
9.250000000000000000e+02 5.588815639496039152e+08
9.750000000000000000e+02 4.911547100126346946e+08
1.025000000000000000e+03 4.698996911720132828e+08
1.075000000000000000e+03 4.703213230922843218e+08
1.125000000000000000e+03 4.624539087120627165e+08
1.175000000000000000e+03 4.469956102215325236e+08
1.225000000000000000e+03 4.139345552802869081e+08
1.275000000000000000e+03 3.932348563999865651e+08
1.325000000000000000e+03 3.942219407002303600e+08
1.375000000000000000e+03 3.936290361800459027e+08
1.425000000000000000e+03 3.678607786197713017e+08
1.475000000000000000e+03 3.301940594084483385e+08
1.525000000000000000e+03 2.688866183969398737e+08
1.575000000000000000e+03 2.143697278177654147e+08
1.625000000000000000e+03 1.803573816483578384e+08
1.675000000000000000e+03 1.357446772189369798e+08
1.725000000000000000e+03 9.123210033975723386e+07
1.775000000000000000e+03 5.571620564013312012e+07
1.825000000000000000e+03 3.720176587000928819e+07
1.875000000000000000e+03 4.296224219004077464e+07
1.925000000000000000e+03 5.179176382006879151e+07
1.975000000000000000e+03 5.899905386010186374e+07
2.025000000000000000e+03 7.569682364994998276e+07
2.075000000000000000e+03 8.779314904985757172e+07
2.125000000000000000e+03 9.371405087982508540e+07
2.175000000000000000e+03 8.395444455992376804e+07
2.225000000000000000e+03 5.806877739010163397e+07
2.275000000000000000e+03 3.097486741998210922e+07
2.325000000000000000e+03 1.455094170998600312e+07
2.375000000000000000e+03 8.580858569998795167e+06
2.425000000000000000e+03 6.271455990000657737e+06
2.500000000000000000e+03 2.814243330000912771e+06
