# 	r			Protein
-2.500000000000000000e+03 0.000000000000000000e+00
-2.425000000000000000e+03 0.000000000000000000e+00
-2.375000000000000000e+03 0.000000000000000000e+00
-2.325000000000000000e+03 0.000000000000000000e+00
-2.275000000000000000e+03 0.000000000000000000e+00
-2.225000000000000000e+03 0.000000000000000000e+00
-2.175000000000000000e+03 0.000000000000000000e+00
-2.125000000000000000e+03 0.000000000000000000e+00
-2.075000000000000000e+03 0.000000000000000000e+00
-2.025000000000000000e+03 0.000000000000000000e+00
-1.975000000000000000e+03 0.000000000000000000e+00
-1.925000000000000000e+03 0.000000000000000000e+00
-1.875000000000000000e+03 0.000000000000000000e+00
-1.825000000000000000e+03 0.000000000000000000e+00
-1.775000000000000000e+03 0.000000000000000000e+00
-1.725000000000000000e+03 0.000000000000000000e+00
-1.675000000000000000e+03 0.000000000000000000e+00
-1.625000000000000000e+03 0.000000000000000000e+00
-1.575000000000000000e+03 0.000000000000000000e+00
-1.525000000000000000e+03 0.000000000000000000e+00
-1.475000000000000000e+03 0.000000000000000000e+00
-1.425000000000000000e+03 0.000000000000000000e+00
-1.375000000000000000e+03 0.000000000000000000e+00
-1.325000000000000000e+03 0.000000000000000000e+00
-1.275000000000000000e+03 0.000000000000000000e+00
-1.225000000000000000e+03 0.000000000000000000e+00
-1.175000000000000000e+03 0.000000000000000000e+00
-1.125000000000000000e+03 0.000000000000000000e+00
-1.075000000000000000e+03 0.000000000000000000e+00
-1.025000000000000000e+03 0.000000000000000000e+00
-9.750000000000000000e+02 0.000000000000000000e+00
-9.250000000000000000e+02 0.000000000000000000e+00
-8.750000000000000000e+02 0.000000000000000000e+00
-8.250000000000000000e+02 0.000000000000000000e+00
-7.750000000000000000e+02 0.000000000000000000e+00
-7.250000000000000000e+02 0.000000000000000000e+00
-6.750000000000000000e+02 0.000000000000000000e+00
-6.250000000000000000e+02 0.000000000000000000e+00
-5.750000000000000000e+02 0.000000000000000000e+00
-5.250000000000000000e+02 0.000000000000000000e+00
-4.750000000000000000e+02 2.096369999999999436e+03
-4.250000000000000000e+02 5.715626199999855598e+05
-3.750000000000000000e+02 3.224597523995985836e+07
-3.250000000000000000e+02 6.540566777526266575e+08
-2.750000000000000000e+02 2.741473743567730904e+09
-2.250000000000000000e+02 4.590742567413757324e+09
-1.750000000000000000e+02 4.612325255711060524e+09
-1.250000000000000000e+02 4.176938286928297520e+09
-7.500000000000000000e+01 4.265542261160097599e+09
-2.500000000000000000e+01 4.535171603045226097e+09
2.500000000000000000e+01 4.315139798378408432e+09
7.500000000000000000e+01 4.736840973405937195e+09
1.250000000000000000e+02 4.368450472694077492e+09
1.750000000000000000e+02 3.884167168641388893e+09
2.250000000000000000e+02 3.507787087526204109e+09
2.750000000000000000e+02 3.035687765994776249e+09
3.250000000000000000e+02 1.285529898605711460e+09
3.750000000000000000e+02 1.172730194492740184e+08
4.250000000000000000e+02 1.204763579999969108e+06
4.750000000000000000e+02 6.002649999999998727e+03
5.250000000000000000e+02 0.000000000000000000e+00
5.750000000000000000e+02 0.000000000000000000e+00
6.250000000000000000e+02 0.000000000000000000e+00
6.750000000000000000e+02 0.000000000000000000e+00
7.250000000000000000e+02 0.000000000000000000e+00
7.750000000000000000e+02 0.000000000000000000e+00
8.250000000000000000e+02 0.000000000000000000e+00
8.750000000000000000e+02 0.000000000000000000e+00
9.250000000000000000e+02 0.000000000000000000e+00
9.750000000000000000e+02 0.000000000000000000e+00
1.025000000000000000e+03 0.000000000000000000e+00
1.075000000000000000e+03 0.000000000000000000e+00
1.125000000000000000e+03 0.000000000000000000e+00
1.175000000000000000e+03 0.000000000000000000e+00
1.225000000000000000e+03 0.000000000000000000e+00
1.275000000000000000e+03 0.000000000000000000e+00
1.325000000000000000e+03 0.000000000000000000e+00
1.375000000000000000e+03 0.000000000000000000e+00
1.425000000000000000e+03 0.000000000000000000e+00
1.475000000000000000e+03 0.000000000000000000e+00
1.525000000000000000e+03 0.000000000000000000e+00
1.575000000000000000e+03 0.000000000000000000e+00
1.625000000000000000e+03 0.000000000000000000e+00
1.675000000000000000e+03 0.000000000000000000e+00
1.725000000000000000e+03 0.000000000000000000e+00
1.775000000000000000e+03 0.000000000000000000e+00
1.825000000000000000e+03 0.000000000000000000e+00
1.875000000000000000e+03 0.000000000000000000e+00
1.925000000000000000e+03 0.000000000000000000e+00
1.975000000000000000e+03 0.000000000000000000e+00
2.025000000000000000e+03 0.000000000000000000e+00
2.075000000000000000e+03 0.000000000000000000e+00
2.125000000000000000e+03 0.000000000000000000e+00
2.175000000000000000e+03 0.000000000000000000e+00
2.225000000000000000e+03 0.000000000000000000e+00
2.275000000000000000e+03 0.000000000000000000e+00
2.325000000000000000e+03 0.000000000000000000e+00
2.375000000000000000e+03 0.000000000000000000e+00
2.425000000000000000e+03 0.000000000000000000e+00
2.500000000000000000e+03 0.000000000000000000e+00
