# 	r			Protein
-2.500000000000000000e+03 2.383929795912977457e+08
-2.425000000000000000e+03 2.398629416413574219e+08
-2.375000000000000000e+03 2.359836059112134874e+08
-2.325000000000000000e+03 2.345840583811747730e+08
-2.275000000000000000e+03 2.360260988212824464e+08
-2.225000000000000000e+03 2.346461323912450373e+08
-2.175000000000000000e+03 2.278250634510406256e+08
-2.125000000000000000e+03 2.254059330009130836e+08
-2.075000000000000000e+03 2.198681637708238959e+08
-2.025000000000000000e+03 2.244480974909519851e+08
-1.975000000000000000e+03 2.305450659410285950e+08
-1.925000000000000000e+03 2.353164930812335610e+08
-1.875000000000000000e+03 2.383449926413082182e+08
-1.825000000000000000e+03 2.460137809114976823e+08
-1.775000000000000000e+03 2.527402247916647792e+08
-1.725000000000000000e+03 2.617784672117394507e+08
-1.675000000000000000e+03 2.716411908819147944e+08
-1.625000000000000000e+03 2.813866449817534089e+08
-1.575000000000000000e+03 2.934629139817282557e+08
-1.525000000000000000e+03 3.064575660817818642e+08
-1.475000000000000000e+03 3.198347896117960811e+08
-1.425000000000000000e+03 3.358889448116394281e+08
-1.375000000000000000e+03 3.471951039516342282e+08
-1.325000000000000000e+03 3.498620331916076541e+08
-1.275000000000000000e+03 3.494087642915685177e+08
-1.225000000000000000e+03 3.456516329415318370e+08
-1.175000000000000000e+03 3.478387481515804529e+08
-1.125000000000000000e+03 3.483121240615686774e+08
-1.075000000000000000e+03 3.379784063915674090e+08
-1.025000000000000000e+03 3.376900857416008711e+08
-9.750000000000000000e+02 3.375944855415801406e+08
-9.250000000000000000e+02 3.421912366415435076e+08
-8.750000000000000000e+02 3.498777625716552138e+08
-8.250000000000000000e+02 3.647752052216084599e+08
-7.750000000000000000e+02 3.799478066216061115e+08
-7.250000000000000000e+02 3.877830001812679768e+08
-6.750000000000000000e+02 3.797555447414615154e+08
-6.250000000000000000e+02 3.728795347314136028e+08
-5.750000000000000000e+02 3.671035495715472698e+08
-5.250000000000000000e+02 3.770212006914789081e+08
-4.750000000000000000e+02 3.893268482615492344e+08
-4.250000000000000000e+02 4.068507410315374732e+08
-3.750000000000000000e+02 4.174492790914307833e+08
-3.250000000000000000e+02 4.356487445314697027e+08
-2.750000000000000000e+02 4.526213652712789774e+08
-2.250000000000000000e+02 4.461719055213760138e+08
-1.750000000000000000e+02 4.347909737714211345e+08
-1.250000000000000000e+02 4.323112004613381624e+08
-7.500000000000000000e+01 4.348540423813079596e+08
-2.500000000000000000e+01 4.282946579014616609e+08
2.500000000000000000e+01 4.179867043013823032e+08
7.500000000000000000e+01 4.008259174412288666e+08
1.250000000000000000e+02 3.864236621312826276e+08
1.750000000000000000e+02 3.812679204213578701e+08
2.250000000000000000e+02 3.843883791112658978e+08
2.750000000000000000e+02 3.918042933312962055e+08
3.250000000000000000e+02 4.003949742613764405e+08
3.750000000000000000e+02 4.035671549615207314e+08
4.250000000000000000e+02 4.061899022914306521e+08
4.750000000000000000e+02 4.075745514215988517e+08
5.250000000000000000e+02 4.068620353115738630e+08
5.750000000000000000e+02 4.022254050514357090e+08
6.250000000000000000e+02 3.990455396314082146e+08
6.750000000000000000e+02 3.981401114215187430e+08
7.250000000000000000e+02 4.031580451315954924e+08
7.750000000000000000e+02 3.988704223114405870e+08
8.250000000000000000e+02 3.963105541815197468e+08
8.750000000000000000e+02 3.944965730811862946e+08
9.250000000000000000e+02 3.841232374613683820e+08
9.750000000000000000e+02 3.741122650812550187e+08
1.025000000000000000e+03 3.800745925112559795e+08
1.075000000000000000e+03 3.879264161512248516e+08
1.125000000000000000e+03 3.823555663013790250e+08
1.175000000000000000e+03 3.720122603316304088e+08
1.225000000000000000e+03 3.581790185717514753e+08
1.275000000000000000e+03 3.421391676019125581e+08
1.325000000000000000e+03 3.336871733318148851e+08
1.375000000000000000e+03 3.246922074016796947e+08
1.425000000000000000e+03 3.070295849917852879e+08
1.475000000000000000e+03 2.876481700619677305e+08
1.525000000000000000e+03 2.779263346919358969e+08
1.575000000000000000e+03 2.679783414919430912e+08
1.625000000000000000e+03 2.554278019316720963e+08
1.675000000000000000e+03 2.420352922313153446e+08
1.725000000000000000e+03 2.328994945210207403e+08
1.775000000000000000e+03 2.234098508908882141e+08
1.825000000000000000e+03 2.145243537605701983e+08
1.875000000000000000e+03 2.198105836606999636e+08
1.925000000000000000e+03 2.267573024509158731e+08
1.975000000000000000e+03 2.313881856410931349e+08
2.025000000000000000e+03 2.387043127913418114e+08
2.075000000000000000e+03 2.431579778113684654e+08
2.125000000000000000e+03 2.446912419514097571e+08
2.175000000000000000e+03 2.414665033012403250e+08
2.225000000000000000e+03 2.440594292914062440e+08
2.275000000000000000e+03 2.416819256113349497e+08
2.325000000000000000e+03 2.394349904912128150e+08
2.375000000000000000e+03 2.392665042311196327e+08
2.425000000000000000e+03 2.442660252313008010e+08
2.500000000000000000e+03 2.447046097214261889e+08
