# 	r			Protein
-2.500000000000000000e+03 1.403885208193739057e+08
-2.425000000000000000e+03 1.512066256092671454e+08
-2.375000000000000000e+03 1.856573748887583911e+08
-2.325000000000000000e+03 1.738095004789831936e+08
-2.275000000000000000e+03 1.436933186593426466e+08
-2.225000000000000000e+03 1.479971018792330921e+08
-2.175000000000000000e+03 1.651701450791276991e+08
-2.125000000000000000e+03 1.661335702691855133e+08
-2.075000000000000000e+03 1.840597645090233088e+08
-2.025000000000000000e+03 2.006818084285514057e+08
-1.975000000000000000e+03 1.915217788789401948e+08
-1.925000000000000000e+03 2.074163164986335635e+08
-1.875000000000000000e+03 2.107696172486460507e+08
-1.825000000000000000e+03 2.066246318388126493e+08
-1.775000000000000000e+03 2.119828012987236381e+08
-1.725000000000000000e+03 2.321692396484571397e+08
-1.675000000000000000e+03 2.353783783984703124e+08
-1.625000000000000000e+03 2.451336220784530044e+08
-1.575000000000000000e+03 2.509099637182423472e+08
-1.525000000000000000e+03 2.528753583781464100e+08
-1.475000000000000000e+03 2.477688663182607889e+08
-1.425000000000000000e+03 2.355443908585007489e+08
-1.375000000000000000e+03 2.256652828586012721e+08
-1.325000000000000000e+03 2.200055588685136139e+08
-1.275000000000000000e+03 2.199166469485863447e+08
-1.225000000000000000e+03 2.213110725984291136e+08
-1.175000000000000000e+03 2.113484762186587155e+08
-1.125000000000000000e+03 1.854437052889966965e+08
-1.075000000000000000e+03 2.111253079388805032e+08
-1.025000000000000000e+03 2.412948256983683109e+08
-9.750000000000000000e+02 2.470513579481347501e+08
-9.250000000000000000e+02 2.520104359381575882e+08
-8.750000000000000000e+02 2.324677244885636568e+08
-8.250000000000000000e+02 2.358191611185016334e+08
-7.750000000000000000e+02 2.552405102779981494e+08
-7.250000000000000000e+02 2.418180332284009159e+08
-6.750000000000000000e+02 2.492725296284875870e+08
-6.250000000000000000e+02 2.946718134572077990e+08
-5.750000000000000000e+02 3.107889460873329043e+08
-5.250000000000000000e+02 2.949941371176362634e+08
-4.750000000000000000e+02 3.028031854674094319e+08
-4.250000000000000000e+02 3.321794547473078966e+08
-3.750000000000000000e+02 3.389203564971986413e+08
-3.250000000000000000e+02 3.500085857262532711e+08
-2.750000000000000000e+02 3.901825789865280986e+08
-2.250000000000000000e+02 3.827837194262025952e+08
-1.750000000000000000e+02 3.635235883566549420e+08
-1.250000000000000000e+02 3.708777779168259501e+08
-7.500000000000000000e+01 3.761496132363238335e+08
-2.500000000000000000e+01 3.786427968762401938e+08
2.500000000000000000e+01 3.908802062163354158e+08
7.500000000000000000e+01 3.996221229161132574e+08
1.250000000000000000e+02 3.963374640862465501e+08
1.750000000000000000e+02 3.768506406164782047e+08
2.250000000000000000e+02 3.791882746062969565e+08
2.750000000000000000e+02 3.732075637668321133e+08
3.250000000000000000e+02 3.536391240564643741e+08
3.750000000000000000e+02 3.341159407169773579e+08
4.250000000000000000e+02 3.249228233870962262e+08
4.750000000000000000e+02 3.035099839674922228e+08
5.250000000000000000e+02 3.091889854974861741e+08
5.750000000000000000e+02 3.090966053675392270e+08
6.250000000000000000e+02 2.910771802879636884e+08
6.750000000000000000e+02 2.819207409978801012e+08
7.250000000000000000e+02 2.809695009575955272e+08
7.750000000000000000e+02 2.543865196882525086e+08
8.250000000000000000e+02 2.345125017584374845e+08
8.750000000000000000e+02 2.184167090487616360e+08
9.250000000000000000e+02 2.101437724288071990e+08
9.750000000000000000e+02 2.205239946183877885e+08
1.025000000000000000e+03 2.012642489087307155e+08
1.075000000000000000e+03 1.760021763790611625e+08
1.125000000000000000e+03 1.608169809293760061e+08
1.175000000000000000e+03 1.604319050191101134e+08
1.225000000000000000e+03 1.650067428091377020e+08
1.275000000000000000e+03 1.617483005990838110e+08
1.325000000000000000e+03 1.552934730692197978e+08
1.375000000000000000e+03 1.389656626293965578e+08
1.425000000000000000e+03 1.241513972894663513e+08
1.475000000000000000e+03 1.110696372496451735e+08
1.525000000000000000e+03 1.000027212597544640e+08
1.575000000000000000e+03 8.883341768982940912e+07
1.625000000000000000e+03 8.429508712988747656e+07
1.675000000000000000e+03 9.445216937981370091e+07
1.725000000000000000e+03 8.167057646992696822e+07
1.775000000000000000e+03 7.679056354994614422e+07
1.825000000000000000e+03 9.430822056979453564e+07
1.875000000000000000e+03 9.686444567976671457e+07
1.925000000000000000e+03 9.284036465979805589e+07
1.975000000000000000e+03 8.698274529984453321e+07
2.025000000000000000e+03 9.839792340976095200e+07
2.075000000000000000e+03 9.777429912975427508e+07
2.125000000000000000e+03 1.030113524597185105e+08
2.175000000000000000e+03 1.043494368297115266e+08
2.225000000000000000e+03 1.039427481396911740e+08
2.275000000000000000e+03 1.010434851597081125e+08
2.325000000000000000e+03 1.198539803895330429e+08
2.375000000000000000e+03 1.374782650194639564e+08
2.425000000000000000e+03 1.385127384894677699e+08
2.500000000000000000e+03 1.481484005292974412e+08
