# 	r			Protein
-2.500000000000000000e+03 0.000000000000000000e+00
-2.425000000000000000e+03 0.000000000000000000e+00
-2.375000000000000000e+03 0.000000000000000000e+00
-2.325000000000000000e+03 0.000000000000000000e+00
-2.275000000000000000e+03 0.000000000000000000e+00
-2.225000000000000000e+03 0.000000000000000000e+00
-2.175000000000000000e+03 0.000000000000000000e+00
-2.125000000000000000e+03 0.000000000000000000e+00
-2.075000000000000000e+03 0.000000000000000000e+00
-2.025000000000000000e+03 0.000000000000000000e+00
-1.975000000000000000e+03 0.000000000000000000e+00
-1.925000000000000000e+03 0.000000000000000000e+00
-1.875000000000000000e+03 0.000000000000000000e+00
-1.825000000000000000e+03 0.000000000000000000e+00
-1.775000000000000000e+03 0.000000000000000000e+00
-1.725000000000000000e+03 0.000000000000000000e+00
-1.675000000000000000e+03 0.000000000000000000e+00
-1.625000000000000000e+03 0.000000000000000000e+00
-1.575000000000000000e+03 0.000000000000000000e+00
-1.525000000000000000e+03 0.000000000000000000e+00
-1.475000000000000000e+03 0.000000000000000000e+00
-1.425000000000000000e+03 0.000000000000000000e+00
-1.375000000000000000e+03 0.000000000000000000e+00
-1.325000000000000000e+03 0.000000000000000000e+00
-1.275000000000000000e+03 0.000000000000000000e+00
-1.225000000000000000e+03 0.000000000000000000e+00
-1.175000000000000000e+03 0.000000000000000000e+00
-1.125000000000000000e+03 0.000000000000000000e+00
-1.075000000000000000e+03 0.000000000000000000e+00
-1.025000000000000000e+03 0.000000000000000000e+00
-9.750000000000000000e+02 0.000000000000000000e+00
-9.250000000000000000e+02 0.000000000000000000e+00
-8.750000000000000000e+02 0.000000000000000000e+00
-8.250000000000000000e+02 0.000000000000000000e+00
-7.750000000000000000e+02 0.000000000000000000e+00
-7.250000000000000000e+02 0.000000000000000000e+00
-6.750000000000000000e+02 0.000000000000000000e+00
-6.250000000000000000e+02 0.000000000000000000e+00
-5.750000000000000000e+02 0.000000000000000000e+00
-5.250000000000000000e+02 0.000000000000000000e+00
-4.750000000000000000e+02 7.107999999999999829e+01
-4.250000000000000000e+02 3.638396000000014465e+04
-3.750000000000000000e+02 4.137106800000021467e+05
-3.250000000000000000e+02 4.535482200002075173e+06
-2.750000000000000000e+02 6.016824403975558281e+07
-2.250000000000000000e+02 4.301049495137919188e+08
-1.750000000000000000e+02 1.017557184772208691e+09
-1.250000000000000000e+02 1.165413610941751957e+09
-7.500000000000000000e+01 9.812468795238234997e+08
-2.500000000000000000e+01 1.008034853819650650e+09
2.500000000000000000e+01 1.036438465705548763e+09
7.500000000000000000e+01 8.936490838935323954e+08
1.250000000000000000e+02 1.039718229176407695e+09
1.750000000000000000e+02 1.022931891282119751e+09
2.250000000000000000e+02 5.054300898546962142e+08
2.750000000000000000e+02 7.494115307958941162e+07
3.250000000000000000e+02 4.670720150002080016e+06
3.750000000000000000e+02 2.487411299999940675e+05
4.250000000000000000e+02 7.256099999999996726e+03
4.750000000000000000e+02 0.000000000000000000e+00
5.250000000000000000e+02 0.000000000000000000e+00
5.750000000000000000e+02 0.000000000000000000e+00
6.250000000000000000e+02 0.000000000000000000e+00
6.750000000000000000e+02 0.000000000000000000e+00
7.250000000000000000e+02 0.000000000000000000e+00
7.750000000000000000e+02 0.000000000000000000e+00
8.250000000000000000e+02 0.000000000000000000e+00
8.750000000000000000e+02 0.000000000000000000e+00
9.250000000000000000e+02 0.000000000000000000e+00
9.750000000000000000e+02 0.000000000000000000e+00
1.025000000000000000e+03 0.000000000000000000e+00
1.075000000000000000e+03 0.000000000000000000e+00
1.125000000000000000e+03 0.000000000000000000e+00
1.175000000000000000e+03 0.000000000000000000e+00
1.225000000000000000e+03 0.000000000000000000e+00
1.275000000000000000e+03 0.000000000000000000e+00
1.325000000000000000e+03 0.000000000000000000e+00
1.375000000000000000e+03 0.000000000000000000e+00
1.425000000000000000e+03 0.000000000000000000e+00
1.475000000000000000e+03 0.000000000000000000e+00
1.525000000000000000e+03 0.000000000000000000e+00
1.575000000000000000e+03 0.000000000000000000e+00
1.625000000000000000e+03 0.000000000000000000e+00
1.675000000000000000e+03 0.000000000000000000e+00
1.725000000000000000e+03 0.000000000000000000e+00
1.775000000000000000e+03 0.000000000000000000e+00
1.825000000000000000e+03 0.000000000000000000e+00
1.875000000000000000e+03 0.000000000000000000e+00
1.925000000000000000e+03 0.000000000000000000e+00
1.975000000000000000e+03 0.000000000000000000e+00
2.025000000000000000e+03 0.000000000000000000e+00
2.075000000000000000e+03 0.000000000000000000e+00
2.125000000000000000e+03 0.000000000000000000e+00
2.175000000000000000e+03 0.000000000000000000e+00
2.225000000000000000e+03 0.000000000000000000e+00
2.275000000000000000e+03 0.000000000000000000e+00
2.325000000000000000e+03 0.000000000000000000e+00
2.375000000000000000e+03 0.000000000000000000e+00
2.425000000000000000e+03 0.000000000000000000e+00
2.500000000000000000e+03 0.000000000000000000e+00
