# 	r			Protein
0.000000000000000000e+00 9.362344899998902110e+05
1.052220865598092914e+01 6.507775680001397617e+06
1.753701442663488308e+01 1.752112039997412637e+07
2.455182019728883347e+01 3.438272930000523478e+07
3.156662596794278741e+01 5.888192813029754907e+07
3.858143173859674135e+01 8.954908782001559436e+07
4.559623750925069174e+01 1.250676659395686984e+08
5.261104327990464924e+01 1.629411036182431877e+08
5.962584905055859963e+01 2.027860301364737451e+08
6.664065482121255002e+01 2.467332273643793464e+08
7.365546059186651462e+01 2.980594052141103148e+08
8.067026636252046501e+01 3.593847168555195332e+08
8.768507213317441540e+01 4.302900525971443057e+08
9.469987790382836579e+01 5.123787281990881562e+08
1.017146836744823304e+02 5.987223579479539394e+08
1.087294894451362808e+02 6.748505832798393965e+08
1.157442952157902312e+02 7.332481818170239925e+08
1.227591009864441816e+02 7.778457798604849577e+08
1.297739067570981319e+02 8.111486952207185030e+08
1.367887125277520681e+02 8.260782000647904873e+08
1.438035182984060327e+02 8.178886474223003387e+08
1.508183240690599689e+02 7.903392329139547348e+08
1.578331298397139335e+02 7.448436359701002836e+08
1.648479356103678981e+02 6.848876199523913860e+08
1.718627413810218343e+02 6.208931191839392185e+08
1.788775471516757989e+02 5.559154113556100130e+08
1.858923529223297351e+02 4.904826124292531013e+08
1.929071586929836997e+02 4.249668305277420282e+08
1.999219644636376643e+02 3.624970314761002660e+08
2.069367702342916004e+02 3.092905072146294117e+08
2.139515760049455650e+02 2.659172397634926438e+08
2.209663817755995012e+02 2.323275407050369978e+08
2.279811875462534658e+02 2.056750764062250555e+08
2.349959933169074304e+02 1.789807919273360670e+08
2.420107990875613666e+02 1.501479855286156833e+08
2.490256048582153312e+02 1.182829615895780921e+08
2.560404106288692674e+02 8.615126195008018613e+07
2.630552163995232604e+02 5.811079212024773657e+07
2.700700221701771966e+02 3.640521358003301173e+07
2.770848279408311896e+02 2.143770148998206854e+07
2.840996337114851258e+02 1.143504188998871669e+07
2.911144394821390620e+02 5.324347660001943819e+06
2.981292452527929981e+02 2.117553390000187792e+06
3.051440510234469912e+02 7.085213699999433011e+05
3.121588567941009273e+02 1.906662600000028324e+05
3.191736625647548635e+02 4.556177999999985332e+04
3.261884683354088565e+02 1.170719000000001142e+04
3.332032741060627927e+02 2.183599999999999909e+03
3.402180798767167289e+02 0.000000000000000000e+00
3.472328856473707219e+02 0.000000000000000000e+00
3.542476914180246581e+02 0.000000000000000000e+00
3.612624971886785943e+02 0.000000000000000000e+00
3.682773029593325305e+02 0.000000000000000000e+00
3.752921087299865235e+02 0.000000000000000000e+00
3.823069145006404597e+02 0.000000000000000000e+00
3.893217202712943958e+02 0.000000000000000000e+00
3.963365260419483889e+02 0.000000000000000000e+00
4.033513318126023250e+02 0.000000000000000000e+00
4.103661375832562612e+02 0.000000000000000000e+00
4.173809433539102542e+02 0.000000000000000000e+00
4.243957491245641904e+02 0.000000000000000000e+00
4.314105548952181266e+02 0.000000000000000000e+00
4.384253606658720628e+02 0.000000000000000000e+00
4.454401664365260558e+02 0.000000000000000000e+00
4.524549722071799920e+02 0.000000000000000000e+00
4.594697779778339282e+02 0.000000000000000000e+00
4.664845837484879212e+02 0.000000000000000000e+00
4.734993895191418574e+02 0.000000000000000000e+00
4.805141952897957935e+02 0.000000000000000000e+00
4.875290010604497297e+02 0.000000000000000000e+00
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
