# 	r			Protein
0.000000000000000000e+00 3.326698499999976484e+05
1.052220865598092914e+01 2.496909780000706203e+06
1.753701442663488308e+01 7.790425919999813661e+06
2.455182019728883347e+01 1.746880841998373345e+07
3.156662596794278741e+01 3.245621158997937664e+07
3.858143173859674135e+01 5.172650829994563013e+07
4.559623750925069174e+01 7.696802645976883173e+07
5.261104327990464924e+01 1.105966473090954274e+08
5.962584905055859963e+01 1.532676438490284383e+08
6.664065482121255002e+01 2.056370819595694542e+08
7.365546059186651462e+01 2.681468246407626867e+08
8.067026636252046501e+01 3.394056134024398327e+08
8.768507213317441540e+01 4.179404377148688436e+08
9.469987790382836579e+01 4.992503472875691652e+08
1.017146836744823304e+02 5.779029940868518353e+08
1.087294894451362808e+02 6.458531830600584745e+08
1.157442952157902312e+02 7.019576033102506399e+08
1.227591009864441816e+02 7.452436882496113777e+08
1.297739067570981319e+02 7.726103641355351210e+08
1.367887125277520681e+02 7.820754249385254383e+08
1.438035182984060327e+02 7.750973365086410046e+08
1.508183240690599689e+02 7.506472193353433609e+08
1.578331298397139335e+02 7.087102259872940779e+08
1.648479356103678981e+02 6.529694073448311090e+08
1.718627413810218343e+02 5.872878053893117905e+08
1.788775471516757989e+02 5.163220332961946726e+08
1.858923529223297351e+02 4.449601058548943996e+08
1.929071586929836997e+02 3.763101336033818126e+08
1.999219644636376643e+02 3.162760121723196507e+08
2.069367702342916004e+02 2.641940195413250327e+08
2.139515760049455650e+02 2.201529386504818797e+08
2.209663817755995012e+02 1.830802297496127188e+08
2.279811875462534658e+02 1.515743037990392148e+08
2.349959933169074304e+02 1.250345593487989902e+08
2.420107990875613666e+02 1.023362307192407250e+08
2.490256048582153312e+02 8.371936466957587004e+07
2.560404106288692674e+02 6.832667106989450753e+07
2.630552163995232604e+02 5.550792737992346287e+07
2.700700221701771966e+02 4.503310312995007634e+07
2.770848279408311896e+02 3.617828056995505095e+07
2.840996337114851258e+02 2.845337785997473821e+07
2.911144394821390620e+02 2.196395971997892484e+07
2.981292452527929981e+02 1.690237088998451829e+07
3.051440510234469912e+02 1.276498866999077611e+07
3.121588567941009273e+02 9.339648969997333363e+06
3.191736625647548635e+02 6.754779660000254400e+06
3.261884683354088565e+02 4.810107930001812056e+06
3.332032741060627927e+02 3.288831090001414064e+06
3.402180798767167289e+02 2.192782170000513084e+06
3.472328856473707219e+02 1.472807610000138870e+06
3.542476914180246581e+02 9.676674199998899130e+05
3.612624971886785943e+02 6.264407499999605352e+05
3.682773029593325305e+02 3.981390800000004820e+05
3.752921087299865235e+02 2.652331099999973667e+05
3.823069145006404597e+02 1.581944099999996834e+05
3.893217202712943958e+02 7.980148000000008324e+04
3.963365260419483889e+02 3.655801000000003842e+04
4.033513318126023250e+02 1.612962000000001171e+04
4.103661375832562612e+02 1.053492000000000553e+04
4.173809433539102542e+02 7.801140000000001237e+03
4.243957491245641904e+02 3.119829999999999472e+03
4.314105548952181266e+02 5.356900000000000546e+02
4.384253606658720628e+02 2.422299999999999898e+02
4.454401664365260558e+02 3.414499999999999886e+02
4.524549722071799920e+02 2.843999999999999773e+02
4.594697779778339282e+02 0.000000000000000000e+00
4.664845837484879212e+02 0.000000000000000000e+00
4.734993895191418574e+02 0.000000000000000000e+00
4.805141952897957935e+02 0.000000000000000000e+00
4.875290010604497297e+02 0.000000000000000000e+00
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
