# 	r			Protein
0.000000000000000000e+00 2.061984950000232784e+06
1.052220865598092914e+01 1.385224588998136669e+07
1.753701442663488308e+01 3.652898866998524964e+07
2.455182019728883347e+01 6.932355620030631125e+07
3.156662596794278741e+01 1.139668017696250379e+08
3.858143173859674135e+01 1.728536557982373536e+08
4.559623750925069174e+01 2.482234145557126105e+08
5.261104327990464924e+01 3.387355284363303781e+08
5.962584905055859963e+01 4.403177310695639849e+08
6.664065482121255002e+01 5.474457432234604359e+08
7.365546059186651462e+01 6.547760419327052832e+08
8.067026636252046501e+01 7.620066503019413948e+08
8.768507213317441540e+01 8.759925876110967398e+08
9.469987790382836579e+01 9.990376858404321671e+08
1.017146836744823304e+02 1.127600736341573000e+09
1.087294894451362808e+02 1.251473190847954988e+09
1.157442952157902312e+02 1.361358271684246540e+09
1.227591009864441816e+02 1.454810930489839792e+09
1.297739067570981319e+02 1.527735731284629583e+09
1.367887125277520681e+02 1.574595662043471336e+09
1.438035182984060327e+02 1.584520132840233088e+09
1.508183240690599689e+02 1.547487005000306129e+09
1.578331298397139335e+02 1.468914075189755201e+09
1.648479356103678981e+02 1.366034199769368887e+09
1.718627413810218343e+02 1.248451864259344101e+09
1.788775471516757989e+02 1.119763589100428104e+09
1.858923529223297351e+02 9.765902884217714071e+08
1.929071586929836997e+02 8.254159408928095102e+08
1.999219644636376643e+02 6.796839865834575891e+08
2.069367702342916004e+02 5.468464905568013191e+08
2.139515760049455650e+02 4.339159112118745446e+08
2.209663817755995012e+02 3.443409965397568941e+08
2.279811875462534658e+02 2.752838134877701402e+08
2.349959933169074304e+02 2.242204273175887167e+08
2.420107990875613666e+02 1.850111503880591989e+08
2.490256048582153312e+02 1.533248204587581158e+08
2.560404106288692674e+02 1.265221490090103745e+08
2.630552163995232604e+02 1.032819912194876224e+08
2.700700221701771966e+02 8.354315388989426196e+07
2.770848279408311896e+02 6.635166825019153953e+07
2.840996337114851258e+02 5.143254880007702857e+07
2.911144394821390620e+02 3.921135571001702547e+07
2.981292452527929981e+02 2.982893966998156533e+07
3.051440510234469912e+02 2.242729566997327656e+07
3.121588567941009273e+02 1.657502753997612931e+07
3.191736625647548635e+02 1.181783516998915747e+07
3.261884683354088565e+02 8.184225049999716692e+06
3.332032741060627927e+02 5.293666720001706854e+06
3.402180798767167289e+02 3.389471270001322962e+06
3.472328856473707219e+02 2.178983140000455081e+06
3.542476914180246581e+02 1.378222480000055162e+06
3.612624971886785943e+02 8.585608499998946209e+05
3.682773029593325305e+02 5.231581200000003446e+05
3.752921087299865235e+02 3.152109300000047078e+05
3.823069145006404597e+02 1.763464799999993702e+05
3.893217202712943958e+02 8.298408000000013271e+04
3.963365260419483889e+02 3.678621000000004278e+04
4.033513318126023250e+02 1.612962000000001171e+04
4.103661375832562612e+02 1.053492000000000553e+04
4.173809433539102542e+02 7.801140000000001237e+03
4.243957491245641904e+02 3.119829999999999472e+03
4.314105548952181266e+02 5.356900000000000546e+02
4.384253606658720628e+02 2.422299999999999898e+02
4.454401664365260558e+02 3.414499999999999886e+02
4.524549722071799920e+02 2.843999999999999773e+02
4.594697779778339282e+02 0.000000000000000000e+00
4.664845837484879212e+02 0.000000000000000000e+00
4.734993895191418574e+02 0.000000000000000000e+00
4.805141952897957935e+02 0.000000000000000000e+00
4.875290010604497297e+02 0.000000000000000000e+00
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
