# 	r			Protein
0.000000000000000000e+00 2.543516160000507254e+06
1.052220865598092914e+01 1.772698153997286782e+07
1.753701442663488308e+01 4.664539824008178711e+07
2.455182019728883347e+01 8.799880622001358867e+07
3.156662596794278741e+01 1.428064805993437469e+08
3.858143173859674135e+01 2.087666422771439254e+08
4.559623750925069174e+01 2.820896760947291255e+08
5.261104327990464924e+01 3.576111121270936728e+08
5.962584905055859963e+01 4.384549048202264309e+08
6.664065482121255002e+01 5.269962161732097864e+08
7.365546059186651462e+01 6.242336158063210249e+08
8.067026636252046501e+01 7.243357755734381676e+08
8.768507213317441540e+01 8.161969297775651217e+08
9.469987790382836579e+01 8.868507683560290337e+08
1.017146836744823304e+02 9.307768201968750954e+08
1.087294894451362808e+02 9.503547923598369360e+08
1.157442952157902312e+02 9.574375713590185642e+08
1.227591009864441816e+02 9.712307086010757685e+08
1.297739067570981319e+02 1.003558409687985182e+09
1.367887125277520681e+02 1.054349249510942459e+09
1.438035182984060327e+02 1.106021731023285866e+09
1.508183240690599689e+02 1.136435789681935787e+09
1.578331298397139335e+02 1.132860418355581045e+09
1.648479356103678981e+02 1.105637184397559404e+09
1.718627413810218343e+02 1.061059047519054651e+09
1.788775471516757989e+02 1.004917226154954076e+09
1.858923529223297351e+02 9.395721808079236746e+08
1.929071586929836997e+02 8.697764695896207094e+08
1.999219644636376643e+02 7.989243757011293173e+08
2.069367702342916004e+02 7.280530073426957130e+08
2.139515760049455650e+02 6.555800886324110031e+08
2.209663817755995012e+02 5.864059193952236176e+08
2.279811875462534658e+02 5.248987984622741938e+08
2.349959933169074304e+02 4.722088257715462446e+08
2.420107990875613666e+02 4.272113437205358744e+08
2.490256048582153312e+02 3.886166157201859951e+08
2.560404106288692674e+02 3.552482240894962549e+08
2.630552163995232604e+02 3.246635310490038991e+08
2.700700221701771966e+02 2.975203589788838625e+08
2.770848279408311896e+02 2.740563387888891101e+08
2.840996337114851258e+02 2.522111316885513961e+08
2.911144394821390620e+02 2.324622061281785667e+08
2.981292452527929981e+02 2.134806392082523406e+08
3.051440510234469912e+02 1.961051993681548536e+08
3.121588567941009273e+02 1.792888858785203695e+08
3.191736625647548635e+02 1.612630691788711548e+08
3.261884683354088565e+02 1.414873549789030850e+08
3.332032741060627927e+02 1.215032015793623328e+08
3.402180798767167289e+02 1.015887443397154510e+08
3.472328856473707219e+02 8.281434827002359927e+07
3.542476914180246581e+02 6.573248537025547773e+07
3.612624971886785943e+02 5.054570339013540745e+07
3.682773029593325305e+02 3.742831786002670228e+07
3.752921087299865235e+02 2.629237730998199806e+07
3.823069145006404597e+02 1.762241268997408450e+07
3.893217202712943958e+02 1.120849115999095328e+07
3.963365260419483889e+02 6.669112250000643544e+06
4.033513318126023250e+02 3.784760970001805574e+06
4.103661375832562612e+02 2.006874710000219056e+06
4.173809433539102542e+02 9.966396799998811912e+05
4.243957491245641904e+02 4.661952799999950803e+05
4.314105548952181266e+02 2.195355700000036159e+05
4.384253606658720628e+02 9.121242000000028929e+04
4.454401664365260558e+02 3.117641000000000349e+04
4.524549722071799920e+02 1.306191000000001441e+04
4.594697779778339282e+02 3.538649999999998727e+03
4.664845837484879212e+02 1.875119999999999663e+03
4.734993895191418574e+02 0.000000000000000000e+00
4.805141952897957935e+02 0.000000000000000000e+00
4.875290010604497297e+02 0.000000000000000000e+00
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
