# 	r			Protein
0.000000000000000000e+00 1.167556239999938756e+06
1.052220865598092914e+01 8.305275219999134541e+06
1.753701442663488308e+01 2.346503350998122618e+07
2.455182019728883347e+01 4.813269417998905480e+07
3.156662596794278741e+01 8.459429017968159914e+07
3.858143173859674135e+01 1.334879036287810802e+08
4.559623750925069174e+01 1.936262410588118732e+08
5.261104327990464924e+01 2.655571559588082433e+08
5.962584905055859963e+01 3.497768802511021495e+08
6.664065482121255002e+01 4.477173791432384849e+08
7.365546059186651462e+01 5.588911213401769400e+08
8.067026636252046501e+01 6.846968032573938370e+08
8.768507213317441540e+01 8.223523212729976177e+08
9.469987790382836579e+01 9.681229288920030594e+08
1.017146836744823304e+02 1.115625335191488028e+09
1.087294894451362808e+02 1.259564770669807673e+09
1.157442952157902312e+02 1.391514453757025003e+09
1.227591009864441816e+02 1.497842167368653536e+09
1.297739067570981319e+02 1.566808286433434725e+09
1.367887125277520681e+02 1.591940916382309198e+09
1.438035182984060327e+02 1.574150197885974169e+09
1.508183240690599689e+02 1.520796980385662317e+09
1.578331298397139335e+02 1.446277631142402649e+09
1.648479356103678981e+02 1.357789377627890110e+09
1.718627413810218343e+02 1.257408821501236439e+09
1.788775471516757989e+02 1.143597844509688854e+09
1.858923529223297351e+02 1.015245512755882025e+09
1.929071586929836997e+02 8.772567440309382677e+08
1.999219644636376643e+02 7.405410168058401346e+08
2.069367702342916004e+02 6.167620425452947617e+08
2.139515760049455650e+02 5.117147861034152508e+08
2.209663817755995012e+02 4.246789980426145792e+08
2.279811875462534658e+02 3.516127589799552560e+08
2.349959933169074304e+02 2.892480998683941960e+08
2.420107990875613666e+02 2.360236426680241823e+08
2.490256048582153312e+02 1.905606806583747268e+08
2.560404106288692674e+02 1.516950703689204752e+08
2.630552163995232604e+02 1.178988153391901106e+08
2.700700221701771966e+02 8.899931548965142667e+07
2.770848279408311896e+02 6.538142985002727062e+07
2.840996337114851258e+02 4.647942870000239462e+07
2.911144394821390620e+02 3.185410912997637317e+07
2.981292452527929981e+02 2.123841210998196155e+07
3.051440510234469912e+02 1.388306648998836614e+07
3.121588567941009273e+02 8.745180749998578802e+06
3.191736625647548635e+02 5.473385570000923239e+06
3.261884683354088565e+02 3.232133470001172274e+06
3.332032741060627927e+02 1.903444410000292817e+06
3.402180798767167289e+02 1.091529219999904046e+06
3.472328856473707219e+02 6.056487399999877671e+05
3.542476914180246581e+02 3.201166799999954528e+05
3.612624971886785943e+02 1.546483900000001886e+05
3.682773029593325305e+02 7.332864000000033411e+04
3.752921087299865235e+02 3.753314000000007218e+04
3.823069145006404597e+02 1.901506000000002678e+04
3.893217202712943958e+02 6.187129999999999200e+03
3.963365260419483889e+02 9.771400000000001000e+02
4.033513318126023250e+02 1.685899999999999409e+03
4.103661375832562612e+02 1.289459999999999809e+03
4.173809433539102542e+02 0.000000000000000000e+00
4.243957491245641904e+02 0.000000000000000000e+00
4.314105548952181266e+02 0.000000000000000000e+00
4.384253606658720628e+02 0.000000000000000000e+00
4.454401664365260558e+02 0.000000000000000000e+00
4.524549722071799920e+02 0.000000000000000000e+00
4.594697779778339282e+02 0.000000000000000000e+00
4.664845837484879212e+02 0.000000000000000000e+00
4.734993895191418574e+02 0.000000000000000000e+00
4.805141952897957935e+02 0.000000000000000000e+00
4.875290010604497297e+02 0.000000000000000000e+00
4.945438068311037227e+02 0.000000000000000000e+00
5.015586126017576589e+02 0.000000000000000000e+00
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
