# 	r			Protein
0.000000000000000000e+00 2.314572370000566822e+06
1.052220865598092914e+01 1.583145732998692058e+07
1.753701442663488308e+01 4.155706717000033706e+07
2.455182019728883347e+01 7.723645382978428900e+07
3.156662596794278741e+01 1.217640729088147134e+08
3.858143173859674135e+01 1.744791601489195526e+08
4.559623750925069174e+01 2.358637250382957160e+08
5.261104327990464924e+01 3.044378749786738753e+08
5.962584905055859963e+01 3.773140735414254069e+08
6.664065482121255002e+01 4.529594067638873458e+08
7.365546059186651462e+01 5.292379285853841305e+08
8.067026636252046501e+01 6.054543771222833395e+08
8.768507213317441540e+01 6.785965088899631500e+08
9.469987790382836579e+01 7.446919432459448576e+08
1.017146836744823304e+02 8.006752158595213890e+08
1.087294894451362808e+02 8.451866489809614420e+08
1.157442952157902312e+02 8.748550393108289242e+08
1.227591009864441816e+02 8.912162073059027195e+08
1.297739067570981319e+02 8.997836400386003256e+08
1.367887125277520681e+02 9.087483537809742689e+08
1.438035182984060327e+02 9.209337092640552521e+08
1.508183240690599689e+02 9.366357963176883459e+08
1.578331298397139335e+02 9.509592591104695797e+08
1.648479356103678981e+02 9.584655574811866283e+08
1.718627413810218343e+02 9.608886926312615871e+08
1.788775471516757989e+02 9.576846548091691732e+08
1.858923529223297351e+02 9.482198544258821011e+08
1.929071586929836997e+02 9.353993248137505054e+08
1.999219644636376643e+02 9.183080367599117756e+08
2.069367702342916004e+02 8.955651285436052084e+08
2.139515760049455650e+02 8.686871901677471399e+08
2.209663817755995012e+02 8.406344504104952812e+08
2.279811875462534658e+02 8.096714960725984573e+08
2.349959933169074304e+02 7.743465680543109179e+08
2.420107990875613666e+02 7.307622360624493361e+08
2.490256048582153312e+02 6.741781280882966518e+08
2.560404106288692674e+02 6.029184792109144926e+08
2.630552163995232604e+02 5.229951677332543135e+08
2.700700221701771966e+02 4.435514556508101821e+08
2.770848279408311896e+02 3.698821690400158167e+08
2.840996337114851258e+02 3.049422349479327798e+08
2.911144394821390620e+02 2.484763073676244617e+08
2.981292452527929981e+02 2.012225451279409528e+08
3.051440510234469912e+02 1.624384406285113692e+08
3.121588567941009273e+02 1.308040109989968985e+08
3.191736625647548635e+02 1.048526201594625264e+08
3.261884683354088565e+02 8.375894505979612470e+07
3.332032741060627927e+02 6.638509631009579450e+07
3.402180798767167289e+02 5.252076940001902729e+07
3.472328856473707219e+02 4.125533693999325484e+07
3.542476914180246581e+02 3.243709794998949394e+07
3.612624971886785943e+02 2.519180950997897238e+07
3.682773029593325305e+02 1.941619449997835234e+07
3.752921087299865235e+02 1.477919757998758182e+07
3.823069145006404597e+02 1.106896933999371715e+07
3.893217202712943958e+02 8.092460729999905452e+06
3.963365260419483889e+02 5.850868570000844076e+06
4.033513318126023250e+02 4.222752560001836158e+06
4.103661375832562612e+02 2.480845630000746809e+06
4.173809433539102542e+02 1.301141340000007534e+06
4.243957491245641904e+02 6.926099599999550264e+05
4.314105548952181266e+02 3.809597699999971665e+05
4.384253606658720628e+02 2.160978499999986088e+05
4.454401664365260558e+02 1.213728700000009703e+05
4.524549722071799920e+02 6.592558000000016182e+04
4.594697779778339282e+02 3.960711000000007334e+04
4.664845837484879212e+02 2.430167000000001644e+04
4.734993895191418574e+02 9.190030000000004293e+03
4.805141952897957935e+02 7.094869999999998072e+03
4.875290010604497297e+02 3.050259999999998399e+03
4.945438068311037227e+02 1.277479999999999791e+03
5.015586126017576589e+02 1.881800000000000068e+02
5.085734183724115951e+02 0.000000000000000000e+00
5.155882241430655313e+02 0.000000000000000000e+00
5.226030299137195243e+02 0.000000000000000000e+00
5.296178356843735173e+02 0.000000000000000000e+00
5.366326414550273967e+02 0.000000000000000000e+00
5.436474472256813897e+02 0.000000000000000000e+00
5.506622529963353827e+02 0.000000000000000000e+00
5.576770587669892620e+02 0.000000000000000000e+00
5.646918645376432551e+02 0.000000000000000000e+00
5.717066703082972481e+02 0.000000000000000000e+00
5.787214760789511274e+02 0.000000000000000000e+00
5.857362818496051204e+02 0.000000000000000000e+00
5.927510876202589998e+02 0.000000000000000000e+00
5.997658933909129928e+02 0.000000000000000000e+00
6.067806991615669858e+02 0.000000000000000000e+00
6.137955049322208652e+02 0.000000000000000000e+00
6.208103107028748582e+02 0.000000000000000000e+00
6.278251164735288512e+02 0.000000000000000000e+00
6.348399222441827305e+02 0.000000000000000000e+00
6.418547280148367236e+02 0.000000000000000000e+00
6.488695337854907166e+02 0.000000000000000000e+00
6.558843395561445959e+02 0.000000000000000000e+00
6.628991453267985889e+02 0.000000000000000000e+00
6.699139510974525820e+02 0.000000000000000000e+00
6.769287568681064613e+02 0.000000000000000000e+00
6.839435626387604543e+02 0.000000000000000000e+00
6.909583684094144473e+02 0.000000000000000000e+00
7.014805770653953232e+02 0.000000000000000000e+00
